BEDS,BATH,SQFT_LOG,ZIPCODE,SUBLOCALITY,BROKERTITLE,TYPE,LATITUDE,LONGITUDE,PRICE_CATEGORY
3,2.0,3.060697840353612,11234,Brooklyn,BERGEN BASIN REALTY,Condo for sale,40.6280068,-73.9155812,Mid
3,2.0,3.339293966003392,10025,New York,Keller Williams NYC,Co-op for sale,40.7992102,-73.9695499,Mid
5,2.0,3.5369370227046737,11234,Kings County,Fillmore Real Estate,Multi-family home for sale,40.6255174,-73.9205183,Mid
3,2.0,3.037027879755775,10465,Bronx County,Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,40.8246371,-73.8072061,Cheap
1,1.0,2.9030899869919438,11235,Brooklyn,RE MAX City Square,Co-op for sale,40.5892251,-73.94999,Cheap
3,2.0,3.339293966003392,10306,Richmond County,Other,Townhouse for sale,40.5610279,-74.1050355,Mid
6,2.0,3.2041199826559246,10458,Bronx County,Other,Multi-family home for sale,40.8561226,-73.8873536,Mid
3,2.0,3.1360860973840974,11369,Queens County,New Group Realty Inc,House for sale,40.7604064,-73.882048,Mid
6,4.0,3.4471580313422194,11210,Kings County,COMPASS,Townhouse for sale,40.6367665,-73.9497245,Mid
6,4.0,3.339293966003392,11222,Kings County,Corcoran Brooklyn Heights,House for sale,40.7246592,-73.9475691,Expensive
6,2.0,3.515476441382376,11234,Kings County,COMPASS,Townhouse for sale,40.6065609,-73.906028,Expensive
3,2.3738608579684373,3.228400358703005,11214,Kings County,RE MAX Edge,House for sale,40.6091787,-73.993115,Mid
3,2.3738608579684373,2.8221680793680175,10303,Richmond County,Sowae Corp,House for sale,40.6330671,-74.1659477,Cheap
4,2.0,3.339293966003392,11216,Kings County,Excell Choice Realty,House for sale,40.6857744,-73.9493686,Mid
1,1.0,3.339293966003392,11235,Kings County,Coldwell Banker American Homes,Pending,40.5838809,-73.9614297,Cheap
1,2.0,2.9912260756924947,11005,Queens,Magic Of Great Neck Realty Inc,Co-op for sale,40.7577991,-73.7159564,Cheap
5,2.0,3.3823773034681137,11234,Kings County,BERGEN BASIN REALTY,Multi-family home for sale,40.6157428,-73.9345355,Mid
5,2.3738608579684373,3.8265283063406517,10304,Richmond County,NoBroker,House for sale,40.6000344,-74.1064235,Expensive
2,2.0,3.060697840353612,10128,New York,Brown Harris Stevens,Co-op for sale,40.7856236,-73.9507052,Mid
6,3.0,3.5040628826786917,11209,Kings County,RE MAX Edge,Multi-family home for sale,40.631406,-74.0193512,Expensive
2,2.0,3.339293966003392,10075,New York,COMPASS,Co-op for sale,40.774576,-73.9624413,Mid
5,2.0,3.342422680822206,11234,Kings County,TALK OF THE TOWN REALTY C,House for sale,40.6148883,-73.9078973,Mid
2,2.0,3.3010299956639813,10001,New York,Douglas Elliman - 140 Franklin,Pending,40.7450475,-73.9923569,Mid
2,2.0,3.3251049829714074,10019,New York,Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,40.7663935,-73.9809909,Expensive
6,3.0,3.456366033129043,10466,Bronx County,New Concept Sheiks Realty Inc.,Multi-family home for sale,40.8920958,-73.8487361,Mid
2,1.0,3.339293966003392,11415,Queens,Other,Co-op for sale,40.7047878,-73.8344551,Cheap
3,1.0,2.857935264719429,10044,New York,TDMT - The Development Marketing Team,Condo for sale,40.7630313,-73.9492357,Mid
2,2.0,3.074816440645175,10025,New York,The Agency,Condo for sale,40.792204,-73.9655642,Expensive
3,2.0,3.125481265700594,10305,Richmond County,JM Properties,House for sale,40.6058796,-74.0681791,Mid
3,1.0,2.9190780923760737,10025,New York,Exp Realty,Co-op for sale,40.798921,-73.961553,Mid
4,2.0,3.3062105081677613,11228,Kings County,RE MAX Edge,Multi-family home for sale,40.6101839,-74.009209,Mid
3,2.0,3.09377178149873,11223,Brooklyn,Ilite Realty Inc,Condo for sale,40.604405,-73.9751935,Mid
3,2.0,3.113943352306837,11420,Queens County,EXIT REALTY ACHIEVE,Multi-family home for sale,40.6780811,-73.8188973,Mid
2,2.0,3.249931756634195,10001,New York,Corcoran East Side,Condo for sale,40.7537586,-74.003221,Expensive
5,3.0,3.339293966003392,11205,Kings County,Coldwell Banker Reliable Real Estate,Multi-family home for sale,40.6923306,-73.9709219,Expensive
3,2.0,3.4899584794248346,11220,Kings County,RE MAX Elite,Multi-family home for sale,40.6416317,-74.0049828,Mid
5,3.0,3.5282737771670436,11414,Queens County,Sovereign Realty Of Ny Inc,House for sale,40.6491159,-73.8389887,Mid
4,2.0,3.17376882313665,11214,Kings County,RE MAX Edge,House for sale,40.6090003,-74.0081041,Mid
3,2.0,3.1245042248342823,10314,Richmond County,Homefinders of SI Inc.,House for sale,40.6155772,-74.1364517,Mid
4,2.0,3.205475036740891,11354,Queens County,Corcoran Williamsburg Bedford,Condo for sale,40.7654814,-73.8178731,Mid
3,2.3738608579684373,3.339293966003392,10306,Richmond County,Other,Land for sale,40.5742632,-74.086609,Cheap
2,2.0,2.91539983521227,11415,Queens,Keller Williams Points North,Pending,40.7059564,-73.8319922,Mid
2,2.0,3.339293966003392,10027,New York,Douglas Elliman - 575 Madison Ave,Condo for sale,40.809448,-73.946777,Mid
1,1.0,2.9542425094393248,11432,Queens,Other,Co-op for sale,40.7125699,-73.79318,Cheap
3,2.0,3.0382226383687185,10314,Richmond County,Taranto Realty,Condo for sale,40.6221107,-74.1499982,Mid
1,1.0,3.339293966003392,11373,Queens,Keller Williams NYC,Co-op for sale,40.7304899,-73.8735933,Cheap
3,1.0,2.7403626894942437,10034,New York,New Heights Realty,Co-op for sale,40.8712698,-73.9178529,Cheap
3,2.0,3.339293966003392,10065,New York,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,40.7640501,-73.964336,Mid
3,2.0,3.339293966003392,11368,Queens County,Realty Connect USA LLC,House for sale,40.754545,-73.859675,Mid
3,1.0,2.9925535178321354,10003,New York,Corcoran Park Avenue South,Co-op for sale,40.7329326,-73.9858654,Mid
3,3.0,3.34966598409663,10023,New York,Douglas Elliman - 1995 Broadway,Co-op for sale,40.7803967,-73.9864464,Expensive
1,1.0,3.339293966003392,11374,Queens,E Z Sell Realty,Co-op for sale,40.7312899,-73.85773,Cheap
2,2.0,3.130333768495006,10065,New York,Douglas Elliman - 575 Madison Ave,Co-op for sale,40.7695956,-73.9688773,Mid
2,1.0,2.9030899869919438,11235,Brooklyn,RE MAX Edge,Co-op for sale,40.5844399,-73.9316116,Cheap
3,2.0,3.230448921378274,11209,Kings County,RE MAX Real Estate Professionals,House for sale,40.622512,-74.038316,Mid
6,3.0,3.339293966003392,11368,Queens County,Winzone Realty Inc,Multi-family home for sale,40.7535493,-73.8547131,Mid
3,2.0,3.339293966003392,10456,The Bronx,KELLER WILLIAMS REALTY LANDMARK II,Condo for sale,40.8203804,-73.9109368,Cheap
3,2.0,3.3246939138617746,10312,Richmond County,RE MAX Edge,Pending,40.5395578,-74.1795806,Mid
2,2.0,3.339293966003392,11215,Brooklyn,COMPASS,Co-op for sale,40.673976,-73.973535,Mid
4,2.0,3.339293966003392,11375,Queens County,Daniel Gale Sotheby's International Realty,Townhouse for sale,40.7129312,-73.8561994,Mid
